Month,Gucci,Red,Dress,Sweater
1-Jan-04,55,42,36,23
1-Feb-04,53,41,36,19
1-Mar-04,56,42,38,16
1-Apr-04,54,43,35,12
1-May-04,54,43,32,11
1-Jun-04,52,42,28,10
1-Jul-04,53,41,27,11
1-Aug-04,52,43,28,15
1-Sep-04,53,40,31,19
1-Oct-04,53,45,31,26
1-Nov-04,60,43,31,33
1-Dec-04,75,44,29,42
1-Jan-05,58,42,39,22
1-Feb-05,59,44,41,18
1-Mar-05,57,42,41,16
1-Apr-05,57,45,39,12
1-May-05,55,43,35,12
1-Jun-05,55,43,31,10
1-Jul-05,55,42,32,11
1-Aug-05,55,42,32,15
1-Sep-05,56,42,35,17
1-Oct-05,55,43,35,26
1-Nov-05,60,44,34,32
1-Dec-05,74,43,33,41
1-Jan-06,57,41,42,21
1-Feb-06,54,43,44,17
1-Mar-06,55,42,45,15
1-Apr-06,57,43,43,13
1-May-06,56,45,39,11
1-Jun-06,54,43,36,10
1-Jul-06,57,42,35,9
1-Aug-06,57,41,36,14
1-Sep-06,56,43,37,19
1-Oct-06,56,44,37,26
1-Nov-06,61,43,37,31
1-Dec-06,73,45,36,37
1-Jan-07,55,40,43,19
1-Feb-07,54,44,46,17
1-Mar-07,54,42,46,13
1-Apr-07,55,43,46,12
1-May-07,53,45,43,10
1-Jun-07,53,43,41,9
1-Jul-07,54,44,41,10
1-Aug-07,50,43,39,13
1-Sep-07,52,43,42,18
1-Oct-07,50,46,42,24
1-Nov-07,57,44,42,32
1-Dec-07,69,47,42,37
1-Jan-08,53,46,47,19
1-Feb-08,55,48,50,17
1-Mar-08,53,45,51,14
1-Apr-08,52,49,51,12
1-May-08,53,51,49,10
1-Jun-08,54,49,47,9
1-Jul-08,52,50,45,10
1-Aug-08,52,49,45,14
1-Sep-08,54,48,47,18
1-Oct-08,52,52,48,25
1-Nov-08,59,53,49,32
1-Dec-08,72,52,46,39
1-Jan-09,54,50,54,21
1-Feb-09,53,53,54,16
1-Mar-09,53,53,57,14
1-Apr-09,55,53,57,12
1-May-09,55,53,57,11
1-Jun-09,56,51,54,10
1-Jul-09,54,53,54,11
1-Aug-09,54,53,54,13
1-Sep-09,54,54,52,18
1-Oct-09,52,56,54,25
1-Nov-09,58,53,55,30
1-Dec-09,71,54,53,40
1-Jan-10,55,53,58,23
1-Feb-10,53,57,62,19
1-Mar-10,52,55,64,15
1-Apr-10,51,56,63,12
1-May-10,52,56,64,11
1-Jun-10,50,54,61,10
1-Jul-10,51,56,57,10
1-Aug-10,50,55,53,14
1-Sep-10,55,55,56,20
1-Oct-10,55,60,53,26
1-Nov-10,58,61,53,35
1-Dec-10,70,61,51,44
1-Jan-11,55,57,58,23
1-Feb-11,54,60,59,18
1-Mar-11,53,59,59,15
1-Apr-11,53,61,67,13
1-May-11,54,63,64,12
1-Jun-11,54,63,58,11
1-Jul-11,53,62,57,12
1-Aug-11,53,62,59,15
1-Sep-11,55,64,57,22
1-Oct-11,56,63,57,30
1-Nov-11,60,66,57,41
1-Dec-11,75,68,57,51
1-Jan-12,56,64,64,27
1-Feb-12,55,70,65,24
1-Mar-12,55,69,65,19
1-Apr-12,54,69,68,17
1-May-12,53,71,67,15
1-Jun-12,54,69,65,14
1-Jul-12,54,71,62,16
1-Aug-12,53,71,60,19
1-Sep-12,55,72,62,28
1-Oct-12,52,70,60,38
1-Nov-12,56,69,60,51
1-Dec-12,74,71,57,62
1-Jan-13,55,67,63,35
1-Feb-13,54,72,66,28
1-Mar-13,52,77,67,24
1-Apr-13,51,71,68,20
1-May-13,51,72,68,17
1-Jun-13,53,73,65,15
1-Jul-13,51,74,64,16
1-Aug-13,50,73,62,21
1-Sep-13,51,70,62,33
1-Oct-13,49,77,62,44
1-Nov-13,55,76,64,60
1-Dec-13,70,79,62,78
1-Jan-14,53,73,67,39
1-Feb-14,50,78,68,33
1-Mar-14,49,77,73,26
1-Apr-14,49,85,74,21
1-May-14,49,78,76,19
1-Jun-14,48,78,73,17
1-Jul-14,49,78,71,18
1-Aug-14,48,79,69,24
1-Sep-14,48,79,69,33
1-Oct-14,47,85,70,45
1-Nov-14,54,83,70,70
1-Dec-14,65,86,68,87
1-Jan-15,50,82,71,42
1-Feb-15,48,84,100,33
1-Mar-15,46,84,92,27
1-Apr-15,45,87,80,22
1-May-15,48,88,81,20
1-Jun-15,47,84,75,19
1-Jul-15,47,86,74,20
1-Aug-15,47,86,73,24
1-Sep-15,49,92,72,35
1-Oct-15,49,88,72,52
1-Nov-15,55,88,74,75
1-Dec-15,69,94,73,93
1-Jan-16,53,88,77,47
1-Feb-16,49,88,78,36
1-Mar-16,49,87,81,29
1-Apr-16,50,86,84,26
1-May-16,53,89,84,25
1-Jun-16,54,88,79,24
1-Jul-16,54,88,77,23
1-Aug-16,53,89,73,27
1-Sep-16,61,90,75,39
1-Oct-16,62,92,76,59
1-Nov-16,69,92,75,84
1-Dec-16,82,94,72,100
1-Jan-17,69,90,75,52
1-Feb-17,77,93,75,41
1-Mar-17,79,95,77,35
1-Apr-17,83,97,80,30
1-May-17,92,95,82,26
1-Jun-17,95,93,80,23
1-Jul-17,100,100,78,24
